2023-10-15 12:01:51,297 INFO [root][base.py (__int__:15] - initiating driver
2023-10-15 12:01:53,785 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple1')
2023-10-15 12:01:53,785 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple1')
2023-10-15 12:01:53,873 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleAdd')
2023-10-15 12:01:53,873 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleAdd')
2023-10-15 12:01:53,922 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple2')
2023-10-15 12:01:53,922 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple2')
2023-10-15 12:01:53,969 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleEqual')
2023-10-15 12:01:53,969 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,014 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,015 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,123 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple1')
2023-10-15 12:01:54,123 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple1')
2023-10-15 12:01:54,161 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple1')
2023-10-15 12:01:54,161 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple1')
2023-10-15 12:01:54,201 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,201 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,239 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple2')
2023-10-15 12:01:54,239 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple2')
2023-10-15 12:01:54,276 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple2')
2023-10-15 12:01:54,276 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple2')
2023-10-15 12:01:54,313 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,313 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,351 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,351 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,370 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple1')
2023-10-15 12:01:54,370 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple1')
2023-10-15 12:01:54,406 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple0')
2023-10-15 12:01:54,406 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple0')
2023-10-15 12:01:54,451 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,451 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,491 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple2')
2023-10-15 12:01:54,492 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple2')
2023-10-15 12:01:54,527 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple0')
2023-10-15 12:01:54,527 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple0')
2023-10-15 12:01:54,564 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,564 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,601 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,601 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,616 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple0')
2023-10-15 12:01:54,617 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple0')
2023-10-15 12:01:54,654 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,654 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,693 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple2')
2023-10-15 12:01:54,693 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple2')
2023-10-15 12:01:54,731 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,731 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,768 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,768 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,785 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple9')
2023-10-15 12:01:54,785 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple9')
2023-10-15 12:01:54,827 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,828 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleAdd')
2023-10-15 12:01:54,870 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simple0')
2023-10-15 12:01:54,870 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simple0')
2023-10-15 12:01:54,907 INFO [root][base.py (base_click:31] - clicking element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,907 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#simpleEqual')
2023-10-15 12:01:54,945 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', '#resultIpt')
2023-10-15 12:01:54,945 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#resultIpt')
