2023-10-15 12:00:44,457 INFO [root][base.py (__int__:15] - initiating driver
2023-10-15 12:00:59,575 INFO [root][base.py (__int__:15] - initiating driver
2023-10-15 12:02:38,165 INFO [root][base.py (__int__:15] - initiating driver
2023-10-15 12:02:43,862 INFO [root][base.py (base_input:36] - clear element: ('css selector', '#username')
2023-10-15 12:02:43,862 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#username')
2023-10-15 12:02:43,959 INFO [root][base.py (base_input:38] - inputting '20205766' into element: ('css selector', '#username')
2023-10-15 12:02:43,959 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#username')
2023-10-15 12:02:44,043 INFO [root][base.py (base_input:36] - clear element: ('css selector', '#password')
2023-10-15 12:02:44,044 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#password')
2023-10-15 12:02:44,130 INFO [root][base.py (base_input:38] - inputting '1234567' into element: ('css selector', '#password')
2023-10-15 12:02:44,130 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#password')
2023-10-15 12:02:44,186 INFO [root][base.py (base_click:31] - clicking element: ('css selector', 'button[class="btn btn-login"]')
2023-10-15 12:02:44,186 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', 'button[class="btn btn-login"]')
2023-10-15 12:02:48,143 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', 'p[class="form-element form-error"]')
2023-10-15 12:02:48,144 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', 'p[class="form-element form-error"]')
2023-10-15 12:02:48,174 INFO [root][base.py (base_input:36] - clear element: ('css selector', '#username')
2023-10-15 12:02:48,174 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#username')
2023-10-15 12:02:48,210 INFO [root][base.py (base_input:38] - inputting '222222' into element: ('css selector', '#username')
2023-10-15 12:02:48,210 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#username')
2023-10-15 12:02:48,269 INFO [root][base.py (base_input:36] - clear element: ('css selector', '#password')
2023-10-15 12:02:48,269 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#password')
2023-10-15 12:02:48,303 INFO [root][base.py (base_input:38] - inputting '1234567' into element: ('css selector', '#password')
2023-10-15 12:02:48,303 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', '#password')
2023-10-15 12:02:48,361 INFO [root][base.py (base_click:31] - clicking element: ('css selector', 'button[class="btn btn-login"]')
2023-10-15 12:02:48,361 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', 'button[class="btn btn-login"]')
2023-10-15 12:02:49,224 INFO [root][base.py (base_get_info:43] - finding info from element: ('css selector', 'p[class="form-element form-error"]')
2023-10-15 12:02:49,224 INFO [root][base.py (base_find_element:25] - finding element: ('css selector', 'p[class="form-element form-error"]')
