2024-01-12 14:17:16,731 INFO [root][base.py (__int__:16)] - initiating driver
2024-01-12 14:17:22,376 INFO [root][base.py (base_input:37)] - clear element: ('css selector', '#username')
2024-01-12 14:17:22,376 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#username')
2024-01-12 14:17:22,475 INFO [root][base.py (base_input:39)] - inputting '20205766' into element: ('css selector', '#username')
2024-01-12 14:17:22,475 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#username')
2024-01-12 14:17:22,564 INFO [root][base.py (base_input:37)] - clear element: ('css selector', '#password')
2024-01-12 14:17:22,564 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#password')
2024-01-12 14:17:22,646 INFO [root][base.py (base_input:39)] - inputting '1234567' into element: ('css selector', '#password')
2024-01-12 14:17:22,647 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#password')
2024-01-12 14:17:22,713 INFO [root][base.py (base_click:32)] - clicking element: ('css selector', 'button[class="btn btn-login"]')
2024-01-12 14:17:22,713 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', 'button[class="btn btn-login"]')
2024-01-12 14:17:26,663 INFO [root][base.py (base_get_info:44)] - finding info from element: ('css selector', 'p[class="form-element form-error"]')
2024-01-12 14:17:26,664 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', 'p[class="form-element form-error"]')
2024-01-12 14:17:26,697 INFO [root][base.py (base_input:37)] - clear element: ('css selector', '#username')
2024-01-12 14:17:26,697 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#username')
2024-01-12 14:17:26,729 INFO [root][base.py (base_input:39)] - inputting '222222' into element: ('css selector', '#username')
2024-01-12 14:17:26,729 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#username')
2024-01-12 14:17:26,794 INFO [root][base.py (base_input:37)] - clear element: ('css selector', '#password')
2024-01-12 14:17:26,794 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#password')
2024-01-12 14:17:26,831 INFO [root][base.py (base_input:39)] - inputting '1234567' into element: ('css selector', '#password')
2024-01-12 14:17:26,831 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', '#password')
2024-01-12 14:17:26,892 INFO [root][base.py (base_click:32)] - clicking element: ('css selector', 'button[class="btn btn-login"]')
2024-01-12 14:17:26,892 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', 'button[class="btn btn-login"]')
2024-01-12 14:17:27,765 INFO [root][base.py (base_get_info:44)] - finding info from element: ('css selector', 'p[class="form-element form-error"]')
2024-01-12 14:17:27,766 INFO [root][base.py (base_find_element:26)] - finding element: ('css selector', 'p[class="form-element form-error"]')
